"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
7,25,30.24388,30.24388,1000,0,NA,-5.24388,5.24388,5.24388,27.4982774544,FALSE,75,69.75612,69.75612,5.24388,69.75612,5.24388,48.75,26.25,21.5554725,-16.3115925,-1.97847
7,25,30.66218,30.66218,1000,0,NA,-5.66218,5.66218,5.66218,32.0602823524,FALSE,75,69.33782,69.33782,5.66218000000001,69.33782,5.66218000000001,48.75,26.25,21.5554725,-15.8932925,-1.56017
0,25,14.94959,14.94959,1000,0,NA,10.05041,10.05041,10.05041,101.0107411681,FALSE,75,85.05041,85.05041,-10.05041,85.05041,10.05041,75,0,7.22235000000001,2.82806,2.82806
0,25,17.68074,17.68074,1000,0,NA,7.31926,7.31926,7.31926,53.5715669476,FALSE,75,82.31926,82.31926,-7.31926,82.31926,7.31926,75,0,7.22235000000001,0.0969099999999941,0.0969100000000012
0,25,21.30855,21.30855,1000,0,NA,3.69145,3.69145,3.69145,13.6268031025,FALSE,75,78.69145,78.69145,-3.69145,78.69145,3.69145,75,0,7.22235000000001,-3.53090000000001,-3.5309
1,25,23.74483,23.74483,1000,0,NA,1.25517,1.25517,1.25517,1.5754517289,FALSE,75,76.25517,76.25517,-1.25516999999999,76.25517,1.25516999999999,71.25,3.75,3.1112325,-1.8560625,-5.96718
1,25,23.60649,23.60649,1000,0,NA,1.39351,1.39351,1.39351,1.9418701201,FALSE,75,76.39351,76.39351,-1.39350999999999,76.39351,1.39350999999999,71.25,3.75,3.1112325,-1.7177225,-5.82884
1,25,23.1092,23.1092,1000,0,NA,1.8908,1.8908,1.8908,3.57512464000001,FALSE,75,76.8908,76.8908,-1.8908,76.8908,1.8908,71.25,3.75,3.1112325,-1.2204325,-5.33155
1,25,23.62728,23.62728,1000,0,NA,1.37272,1.37272,1.37272,1.8843601984,FALSE,75,76.37272,76.37272,-1.37272,76.37272,1.37272,71.25,3.75,3.1112325,-1.7385125,-5.84963
1,25,22.04392,22.04392,1000,0,NA,2.95608,2.95608,2.95608,8.7384089664,FALSE,75,77.95608,77.95608,-2.95608,77.95608,2.95608,71.25,3.75,3.1112325,-0.1551525,-4.26627
