"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
6,25,93.827325,93.03387,1000,0,-68.827325,68.827325,68.03387,4737.20066665563,FALSE,75,6.172675,6.96613000000001,68.827325,4.3208725,70.6791275,52.5,22.5,22.63025075,48.04887675,67.3574925
7,25,94.6403061538462,95.31201,1000,0,-69.6403061538462,69.6403061538462,70.31201,4849.77224120142,FALSE,75,5.35969384615385,4.68799,69.6403061538462,3.483801,71.516199,48.75,26.25,26.370947125,45.145251875,68.1704736538462
0,25,21.918585,21.8583,1000,0,3.081415,3.081415,3.1417,9.495118402225,FALSE,75,78.081415,78.1417,-3.08141499999999,78.081415,3.08141499999999,75,0,0.186072499999995,2.8953425,1.6115825
1,25,65.6504368421053,65.1244,1000,0,-40.6504368421053,40.6504368421053,40.1244,1652.45801545399,FALSE,75,34.3495631578947,34.8756,40.6504368421053,32.632085,42.367915,71.25,3.75,3.92676887499999,38.441146125,39.1806043421053
2,25,78.0997444444444,79.441,1000,0,-53.0997444444444,53.0997444444444,54.441,2819.58286006531,FALSE,75,21.9002555555556,20.559,53.0997444444444,19.71023,55.28977,67.5,7.5,7.66746524999999,47.62230475,51.6299119444444
3,25,88.4782117647059,88.435,1000,0,-63.4782117647059,63.4782117647059,63.435,4029.48336884485,FALSE,75,11.5217882352941,11.565,63.4782117647059,9.79351999999999,65.20648,63.75,11.25,11.408161625,53.798318375,62.0083792647059
4,25,92.38679125,92.34849,1000,0,-67.38679125,67.38679125,67.34849,4540.97963497108,FALSE,75,7.61320875,7.65151,67.38679125,6.090567,68.909433,60,15,15.148858,53.760575,65.91695875
5,25,92.866012,93.14813,1000,0,-67.866012,67.866012,68.14813,4605.79558478414,FALSE,75,7.133988,6.85187000000001,67.866012,5.350491,69.649509,56.25,18.75,18.889554375,50.759954625,66.3961795
6,25,94.2784614285714,100,1000,0,-69.2784614285714,69.2784614285714,75,4799.50521791006,FALSE,75,5.72153857142858,0,69.2784614285714,4.00507700000001,70.994923,52.5,22.5,22.63025075,48.36467225,67.8086289285714
7,25,94.4995153846154,100,1000,0,-69.4995153846154,69.4995153846154,75,4830.18263869639,FALSE,75,5.50048461538462,0,69.4995153846154,3.575315,71.424685,48.75,26.25,26.370947125,45.053737875,68.0296828846154
0,25,25.162675,24.8888,1000,0,-0.162675,0.162675,0.1112,0.026463155625,FALSE,75,74.837325,75.1112,0.162675000000007,74.837325,0.162675000000007,75,0,0.186072499999995,-0.0233974999999873,-1.3071575
1,25,66.4129421052632,65.789,1000,0,-41.4129421052632,41.4129421052632,40.789,1715.03177381388,FALSE,75,33.5870578947368,34.211,41.4129421052632,31.907705,43.092295,71.25,3.75,3.92676887499999,39.165526125,39.9431096052632
2,25,84.7503611111111,83.8074,1000,0,-59.7503611111111,59.7503611111111,58.8074,3570.10565290818,FALSE,75,15.2496388888889,16.1926,59.7503611111111,13.724675,61.275325,67.5,7.5,7.66746524999999,53.60785975,58.2805286111111
3,25,88.4245352941176,88.3888,1000,0,-63.4245352941176,63.4245352941176,63.3888,4022.67167727477,FALSE,75,11.5754647058824,11.6112,63.4245352941176,9.839145,65.160855,63.75,11.25,11.408161625,53.752693375,61.9547027941176
