"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
5,25,27.39,27.39,1000,0,NA,-2.39,2.39,2.39,5.71209999999999,FALSE,75,72.61,72.61,2.39,72.61,2.39,56.25,18.75,13.71129375,-11.32129375,-4.328275
5,25,37.06859,37.06859,1000,0,NA,-12.06859,12.06859,12.06859,145.6508645881,FALSE,75,62.93141,62.93141,12.06859,62.93141,12.06859,56.25,18.75,13.71129375,-1.64270375,5.350315
6,25,49.39308,49.39308,1000,0,NA,-24.39308,24.39308,24.39308,595.0223518864,FALSE,75,50.60692,50.60692,24.39308,50.60692,24.39308,52.5,22.5,17.7972075,6.59587250000001,17.674805
6,25,47.83314,47.83314,1000,0,NA,-22.83314,22.83314,22.83314,521.3522822596,FALSE,75,52.16686,52.16686,22.83314,52.16686,22.83314,52.5,22.5,17.7972075,5.03593250000001,16.114865
7,25,33.81143,33.81143,1000,0,NA,-8.81143,8.81143,8.81143,77.6412986449,FALSE,75,66.18857,66.18857,8.81143,66.18857,8.81143,48.75,26.25,21.88312125,-13.07169125,2.093155
7,25,35.63975,35.63975,1000,0,NA,-10.63975,10.63975,10.63975,113.2042800625,FALSE,75,64.36025,64.36025,10.63975,64.36025,10.63975,48.75,26.25,21.88312125,-11.24337125,3.921475
0,25,15.37481,15.37481,1000,0,NA,9.62519,9.62519,9.62519,92.6442825361,FALSE,75,84.62519,84.62519,-9.62519,84.62519,9.62519,75,0,6.71827500000001,2.90691499999999,2.906915
0,25,14.92364,14.92364,1000,0,NA,10.07636,10.07636,10.07636,101.5330308496,FALSE,75,85.07636,85.07636,-10.07636,85.07636,10.07636,75,0,6.71827500000001,3.358085,3.358085
1,25,24.5748,24.5748,1000,0,NA,0.4252,0.4252,0.4252,0.18079504,FALSE,75,75.4252,75.4252,-0.425200000000004,75.4252,0.425200000000004,71.25,3.75,2.63236125,-2.20716125,-6.293075
1,25,15.84937,15.84937,1000,0,NA,9.15063,9.15063,9.15063,83.7340293969,FALSE,75,84.15063,84.15063,-9.15063000000001,84.15063,9.15063000000001,71.25,3.75,2.63236125,6.51826875,2.432355
2,25,25.87069,25.87069,1000,0,NA,-0.870690000000003,0.870690000000003,0.870690000000003,0.758101076100006,FALSE,75,74.12931,74.12931,0.870689999999996,74.12931,0.870689999999996,67.5,7.5,1.4535525,-0.582862499999997,-5.847585
2,25,26.71036,26.71036,1000,0,NA,-1.71036,1.71036,1.71036,2.9253313296,FALSE,75,73.28964,73.28964,1.71036000000001,73.28964,1.71036000000001,67.5,7.5,1.4535525,0.256807500000001,-5.007915
2,25,32.06889,32.06889,1000,0,NA,-7.06889,7.06889,7.06889,49.9692058321,FALSE,75,67.93111,67.93111,7.06889000000001,67.93111,7.06889000000001,67.5,7.5,1.4535525,5.6153375,0.350615000000003
3,25,24.49212,24.49212,1000,0,NA,0.50788,0.50788,0.50788,0.2579420944,FALSE,75,75.50788,75.50788,-0.50788,75.50788,0.50788,63.75,11.25,5.53946625,-5.03158625,-6.210395
3,25,32.73946,32.73946,1000,0,NA,-7.73946,7.73946,7.73946,59.8992410916,FALSE,75,67.26054,67.26054,7.73946000000001,67.26054,7.73946000000001,63.75,11.25,5.53946625,2.19999375,1.021185
3,25,27.68459,27.68459,1000,0,NA,-2.68459,2.68459,2.68459,7.20702346809998,FALSE,75,72.31541,72.31541,2.68459,72.31541,2.68459,63.75,11.25,5.53946625,-2.85487625000001,-4.033685
4,25,19.90487,19.90487,1000,0,NA,5.09513,5.09513,5.09513,25.9603497169,FALSE,75,80.09513,80.09513,-5.09513,80.09513,5.09513,60,15,9.62537999999999,-4.53024999999999,-1.623145
5,25,38.41213,38.41213,1000,0,NA,-13.41213,13.41213,13.41213,179.8852311369,FALSE,75,61.58787,61.58787,13.41213,61.58787,13.41213,56.25,18.75,13.71129375,-0.299163749999998,6.693855
5,25,45.06764,45.06764,1000,0,NA,-20.06764,20.06764,20.06764,402.7101751696,FALSE,75,54.93236,54.93236,20.06764,54.93236,20.06764,56.25,18.75,13.71129375,6.35634625,13.349365
6,25,37.42563,37.42563,1000,0,NA,-12.42563,12.42563,12.42563,154.3962808969,FALSE,75,62.57437,62.57437,12.42563,62.57437,12.42563,52.5,22.5,17.7972075,-5.37157749999999,5.707355
6,25,36.65431,36.65431,1000,0,NA,-11.65431,11.65431,11.65431,135.8229415761,FALSE,75,63.34569,63.34569,11.65431,63.34569,11.65431,52.5,22.5,17.7972075,-6.14289749999999,4.936035
7,25,48.29154,48.29154,1000,0,NA,-23.29154,23.29154,23.29154,542.4958355716,FALSE,75,51.70846,51.70846,23.29154,51.70846,23.29154,48.75,26.25,21.88312125,1.40841875,16.573265
7,25,37.90822,37.90822,1000,0,NA,-12.90822,12.90822,12.90822,166.6221435684,FALSE,75,62.09178,62.09178,12.90822,62.09178,12.90822,48.75,26.25,21.88312125,-8.97490125,6.189945
0,25,21.40518,21.40518,1000,0,NA,3.59482,3.59482,3.59482,12.9227308324,FALSE,75,78.59482,78.59482,-3.59482,78.59482,3.59482,75,0,6.71827500000001,-3.123455,-3.123455
0,25,14.55324,14.55324,1000,0,NA,10.44676,10.44676,10.44676,109.1347944976,FALSE,75,85.44676,85.44676,-10.44676,85.44676,10.44676,75,0,6.71827500000001,3.72848499999999,3.728485
1,25,23.5776,23.5776,1000,0,NA,1.4224,1.4224,1.4224,2.02322176,FALSE,75,76.4224,76.4224,-1.4224,76.4224,1.4224,71.25,3.75,2.63236125,-1.20996125,-5.295875
1,25,18.16749,18.16749,1000,0,NA,6.83251,6.83251,6.83251,46.6831929001,FALSE,75,81.83251,81.83251,-6.83251,81.83251,6.83251,71.25,3.75,2.63236125,4.20014875,0.114234999999999
2,25,18.72926,18.72926,1000,0,NA,6.27074,6.27074,6.27074,39.3221801476,FALSE,75,81.27074,81.27074,-6.27074,81.27074,6.27074,67.5,7.5,1.4535525,4.8171875,-0.447535
2,25,18.91406,18.91406,1000,0,NA,6.08594,6.08594,6.08594,37.0386656836,FALSE,75,81.08594,81.08594,-6.08593999999999,81.08594,6.08593999999999,67.5,7.5,1.4535525,4.6323875,-0.632334999999999
2,25,33.73702,33.73702,1000,0,NA,-8.73702,8.73702,8.73702,76.3355184804,FALSE,75,66.26298,66.26298,8.73702,66.26298,8.73702,67.5,7.5,1.4535525,7.2834675,2.018745
3,25,29.49242,29.49242,1000,0,NA,-4.49242,4.49242,4.49242,20.1818374564,FALSE,75,70.50758,70.50758,4.49242000000001,70.50758,4.49242000000001,63.75,11.25,5.53946625,-1.04704625,-2.225855
3,25,26.2432,26.2432,1000,0,NA,-1.2432,1.2432,1.2432,1.54554624,FALSE,75,73.7568,73.7568,1.2432,73.7568,1.2432,63.75,11.25,5.53946625,-4.29626625,-5.475075
3,25,32.86068,32.86068,1000,0,NA,-7.86068,7.86068,7.86068,61.7902900623999,FALSE,75,67.13932,67.13932,7.86068,67.13932,7.86068,63.75,11.25,5.53946625,2.32121374999999,1.14240499999999
4,25,26.19721,26.19721,1000,0,NA,-1.19721,1.19721,1.19721,1.4333117841,FALSE,75,73.80279,73.80279,1.19721,73.80279,1.19721,60,15,9.62537999999999,-8.42816999999999,-5.521065
4,25,36.51984,36.51984,1000,0,NA,-11.51984,11.51984,11.51984,132.7067136256,FALSE,75,63.48016,63.48016,11.51984,63.48016,11.51984,60,15,9.62537999999999,1.89446,4.80156499999999
