"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
3,25,5.19041,5.19041,1000,0.01,6244,19.80959,19.80959,19.80959,392.4198559681,FALSE,75,94.80959,94.80959,-19.80959,94.80959,19.80959,63.75,11.25,16.028564,3.781026,8.83766
4,25,28.25975,28.25975,1000,0.01,8912,-3.25975,3.25975,3.25975,10.6259700625,FALSE,75,71.74025,71.74025,3.25975,71.74025,3.25975,60,15,19.497472,-16.237722,-7.71218
5,25,29.885,29.885,1000,0.01,8948,-4.885,4.885,4.885,23.863225,FALSE,75,70.115,70.115,4.88500000000001,70.115,4.88500000000001,56.25,18.75,22.96638,-18.08138,-6.08693
6,25,29.65679,29.65679,1000,0.01,9440,-4.65679,4.65679,4.65679,21.6856931041,FALSE,75,70.34321,70.34321,4.65679,70.34321,4.65679,52.5,22.5,26.435288,-21.778498,-6.31514
7,25,35.04977,35.04977,1000,0.01,9420,-10.04977,10.04977,10.04977,100.9978770529,FALSE,75,64.95023,64.95023,10.04977,64.95023,10.04977,48.75,26.25,29.904196,-19.854426,-0.922159999999998
0,25,4.84275,4.84275,1000,0.01,8904,20.15725,20.15725,20.15725,406.3147275625,FALSE,75,95.15725,95.15725,-20.15725,95.15725,20.15725,75,0,5.62183999999999,14.53541,9.18532
1,25,5.25001,5.25001,1000,0.01,9268,19.74999,19.74999,19.74999,390.0621050001,FALSE,75,94.74999,94.74999,-19.74999,94.74999,19.74999,71.25,3.75,9.09074799999999,10.659242,8.77806
2,25,27.37987,27.37987,1000,0.01,9252,-2.37987,2.37987,2.37987,5.6637812169,FALSE,75,72.62013,72.62013,2.37987,72.62013,2.37987,67.5,7.5,12.559656,-10.179786,-8.59206
3,25,37.7086,37.7086,1000,0.01,8768,-12.7086,12.7086,12.7086,161.50851396,FALSE,75,62.2914,62.2914,12.7086,62.2914,12.7086,63.75,11.25,16.028564,-3.319964,1.73667
4,25,24.26803,24.26803,1000,0.01,9148,0.73197,0.73197,0.73197,0.535780080900001,FALSE,75,75.73197,75.73197,-0.731970000000004,75.73197,0.731970000000004,60,15,19.497472,-18.765502,-10.23996
5,25,54.92825,54.92825,1000,0.01,9108,-29.92825,29.92825,29.92825,895.7001480625,FALSE,75,45.07175,45.07175,29.92825,45.07175,29.92825,56.25,18.75,22.96638,6.96187,18.95632
6,25,33.41735,33.41735,1000,0.01,9300,-8.41735,8.41735,8.41735,70.8517810225,FALSE,75,66.58265,66.58265,8.41735,66.58265,8.41735,52.5,22.5,26.435288,-18.017938,-2.55458
7,25,25.90149,25.90149,1000,0.01,8724,-0.901489999999999,0.901489999999999,0.901489999999999,0.812684220099998,FALSE,75,74.09851,74.09851,0.901489999999995,74.09851,0.901489999999995,48.75,26.25,29.904196,-29.002706,-10.07044
0,25,35.97193,35.97193,1000,0.01,8316,-10.97193,10.97193,10.97193,120.3832479249,FALSE,75,64.02807,64.02807,10.97193,64.02807,10.97193,75,0,5.62183999999999,5.35009000000001,0
1,25,27.62877,27.62877,1000,0.01,9196,-2.62877,2.62877,2.62877,6.91043171290002,FALSE,75,72.37123,72.37123,2.62877,72.37123,2.62877,71.25,3.75,9.09074799999999,-6.46197799999999,-8.34316
2,25,22.44911,22.44911,1000,0.01,8832,2.55089,2.55089,2.55089,6.5070397921,FALSE,75,77.55089,77.55089,-2.55089,77.55089,2.55089,67.5,7.5,12.559656,-10.008766,-8.42104
3,25,4.188,4.188,1000,0.01,6928,20.812,20.812,20.812,433.139344,FALSE,75,95.812,95.812,-20.812,95.812,20.812,63.75,11.25,16.028564,4.78343600000001,9.84007
4,25,46.77983,46.77983,1000,0.01,8232,-21.77983,21.77983,21.77983,474.3609948289,FALSE,75,53.22017,53.22017,21.77983,53.22017,21.77983,60,15,19.497472,2.282358,10.8079
5,25,27.86352,27.86352,1000,0.01,6916,-2.86352,2.86352,2.86352,8.19974679040001,FALSE,75,72.13648,72.13648,2.86351999999999,72.13648,2.86351999999999,56.25,18.75,22.96638,-20.10286,-8.10841
6,25,4.65536,4.65536,1000,0.01,8888,20.34464,20.34464,20.34464,413.9043767296,FALSE,75,95.34464,95.34464,-20.34464,95.34464,20.34464,52.5,22.5,26.435288,-6.09064799999999,9.37271
7,25,29.20495,29.20495,1000,0.01,9172,-4.20495,4.20495,4.20495,17.6816045025,FALSE,75,70.79505,70.79505,4.20495,70.79505,4.20495,48.75,26.25,29.904196,-25.699246,-6.76698
0,25,48.50802,48.50802,1000,0.01,9148,-23.50802,23.50802,23.50802,552.6270043204,FALSE,75,51.49198,51.49198,23.50802,51.49198,23.50802,75,0,5.62183999999999,17.88618,12.53609
1,25,4.84115,4.84115,1000,0.01,9440,20.15885,20.15885,20.15885,406.3792333225,FALSE,75,95.15885,95.15885,-20.15885,95.15885,20.15885,71.25,3.75,9.09074799999999,11.068102,9.18692
2,25,20.68255,20.68255,1000,0.01,7184,4.31745,4.31745,4.31745,18.6403745025,FALSE,75,79.31745,79.31745,-4.31745000000001,79.31745,4.31745000000001,67.5,7.5,12.559656,-8.242206,-6.65448
3,25,46.71081,46.71081,1000,0.01,5684,-21.71081,21.71081,21.71081,471.3592708561,FALSE,75,53.28919,53.28919,21.71081,53.28919,21.71081,63.75,11.25,16.028564,5.68224600000001,10.73888
4,25,45.23747,45.23747,1000,0.01,6140,-20.23747,20.23747,20.23747,409.5551920009,FALSE,75,54.76253,54.76253,20.23747,54.76253,20.23747,60,15,19.497472,0.739998000000007,9.26554
5,25,23.50638,23.50638,1000,0.01,6004,1.49362,1.49362,1.49362,2.2309007044,FALSE,75,76.49362,76.49362,-1.49361999999999,76.49362,1.49361999999999,56.25,18.75,22.96638,-21.47276,-9.47831
